Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,USD,NGM,https://ir.atai.net.cn/,1.01,31788638,63820476,N/A,-1.020202,N/A,0.480038,0.12677258,2.104,7.962,0.131,N/A,-0.11724,0.51831,-0.26191,-0.16271,N/A,N/A,N/A,N/A,1535328000,N/A,N/A,39391128,0.625,39645840,N/A,59.868,0.162,0.109,0.782,1.65,0.5,55662,28382,N/A,0.1098901,0.07195,0.16389,2.26,N/A,N/A,N/A,N/A,N/A,-0.06877,-0.48075,-2.171,-0.18,-0.99,250753248
AA,Alcoa Corporation,Basic Materials,Aluminum,United States,USD,NYQ,https://www.alcoa.com,44.02,11372787712,13004779520,N/A,14.105448,N/A,2.166232,1.0335139,20.321,57.238,0.116,N/A,0.09724,0.12077,0.086780004,-0.02654,0.4,0.0091,0.0584,N/A,1730160000,552124992,405000000,1312999936,5.082,2944999936,N/A,56.095,1.407,0.671,2.419,46.55,23.8,5245967,10764098,N/A,0.66301477,0.00756,0.69491994,1.9,55.0,38.5,46.96923,1.78571,13,0.01862,-0.07142,12.154,-1.56,3.19,11004000256
AAA,Alternative Access First Priority CLO Bond ETF,N/A,N/A,N/A,USD,PCX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.28,24.79,6641,4784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAAU,Goldman Sachs Physical Gold ETF,N/A,N/A,N/A,USD,BTS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.6,19.47,2005912,1529303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,USD,NYQ,https://www.agilent.com,127.07,36510769152,37847728128,26.36307,22.457315,N/A,6.1894784,5.619635,20.53,22.269,-0.056,1.569,0.24073,0.54394,0.24968,0.21747999,0.94,0.0074,0.19399999,0.66,1727740800,879500032,1786000000,1779000064,6.192,3116000000,N/A,52.787,1.781,1.258,1.072,155.35,112.39,1593698,2631118,N/A,0.11484468,0.00274,0.91198,2.59,165.0,135.0,150.11472,2.35,17,0.07579,0.24658,24.199,4.82,5.65,6496999936
AACT,Ares Acquisition Corporation II,Financial Services,Shell Companies,United States,USD,NYQ,https://www.aresacquisitioncorporationii.com,10.88,680000000,682978240,24.727274,N/A,N/A,N/A,N/A,-0.324,N/A,N/A,0.457,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-498024,-1029614,1396782,0.022,5000000,N/A,N/A,3.834,3.028,N/A,11.0,10.35,207103,1885983,N/A,0.05120778,N/A,0.84771,0.21,N/A,N/A,N/A,N/A,N/A,-0.00196,N/A,N/A,0.44,N/A,N/A
AADR,AdvisorShares Dorsey Wright ADR ETF,N/A,N/A,N/A,USD,NGM,N/A,N/A,N/A,N/A,15.325022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.53,51.81,704,888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAM,AA Mission Acquisition Corp.,N/A,N/A,N/A,USD,NYQ,N/A,10.05,441938720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.06,9.96,323722,3142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://aadibio.com,2.11,52006012,-9667003,N/A,-1.688,N/A,0.75411004,2.0744321,2.798,0.929,0.21,N/A,-2.52872,-1.0986,-1.49404,-2.4605901,N/A,N/A,N/A,N/A,N/A,-35620500,-54141000,62619000,2.541,946000,N/A,1.374,4.889,4.374,0.369,5.7,1.21,232889,176489,N/A,-0.5557895,0.09961,0.49172002,3.24,2.0,1.75,1.875,3.0,2,-0.35269,-0.65953004,0.152,-2.28,-1.01,25070000
AAL,American Airlines Group Inc.,Industrials,Airlines,United States,USD,NMS,https://www.aa.com,14.39,9456115712,39679115264,34.261906,7.021328,N/A,N/A,0.1763773,-7.387,81.697,0.012,N/A,0.094510004,0.24033001,0.049099997,0.00513,N/A,N/A,N/A,1.27,1580774400,445375008,2233999872,8949999616,13.62,39173001216,N/A,N/A,0.566,0.422,1.399,16.15,9.07,33245543,22633592,N/A,0.16048384,0.01282,0.57146,1.94,20.0,10.0,14.17,2.59091,19,0.02753,N/A,7.831,0.42,2.02,53612998656
