Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,USD,NYQ,https://www.agilent.com,126.92,36510695424,37804630016,26.33195,22.430805,N/A,6.1821723,5.6196237,20.53,22.269,-0.056,1.569,0.24073,0.54394,0.24968,0.21747999,0.94,0.0074,0.19399999,0.66,1727740800,879500032,1786000000,1779000064,6.192,3116000000,N/A,52.787,1.781,1.258,1.072,155.35,121.23,1591788,1443960,N/A,0.025419593,0.00274,0.91198,2.59,165.0,135.0,150.11472,2.35,17,0.07579,0.24658,24.172,4.82,5.65,6496999936
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,USD,NMS,https://www.apple.com,228.02,3446704701440,3500597837824,37.503292,27.442894,N/A,60.53093,8.814313,3.767,25.485,0.061,-0.341,0.34437,0.46206,0.31171,0.23971,1.0,0.0044,0.1612,0.63,1731024000,110846001152,118254002176,65171001344,4.311,119058997248,N/A,209.059,0.867,0.745,1.24,237.49,164.08,47887076,44555294,N/A,0.18023503,0.020580001,0.61675,3.24,300.0,184.0,244.47739,1.89362,42,0.21464,1.5741299,25.996,6.08,8.31,391034994688
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,United States,USD,NYQ,https://www.abbvie.com,166.28,293840027648,357917097984,57.937283,13.690589,N/A,48.7196,5.291269,3.413,31.397,0.038,-0.123,0.46153,0.70335,0.28928,0.09222999,6.56,0.0398,2.1359,4.16,1736899200,17738999808,16510999552,7285000192,4.122,71323000832,N/A,1174.815,0.645,0.436,0.613,207.32,137.65,5322193,8303937,N/A,0.1892885,0.00096000003,0.73441005,3.61,240.0,165.0,204.73517,1.9,29,0.077199996,0.56407,13.965,2.87,12.13,55532998656
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,United States,USD,NMS,https://www.airbnb.com,132.19,82782273536,73594560512,45.899303,30.115871,N/A,9.93611,7.6367407,13.304,17.057,0.099,-0.678,0.15434,0.83072,0.40862998,0.16956,N/A,N/A,N/A,N/A,N/A,3363000064,4115000064,11253000192,18.011,2259000064,N/A,26.614,1.616,1.008,1.156,170.1,110.38,4319566,4457119,N/A,0.044787884,0.00826,0.79839,4.72,195.0,85.0,137.36667,2.84783,36,0.046630003,0.20873,43.99,2.88,4.5,10840000512
ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,USD,NYQ,https://www.abbott.com,117.36,203556225024,211045744640,35.671734,22.747494,N/A,5.1150627,4.9386473,22.944,23.682,0.049,0.146,0.26263002,0.55907,0.18749,0.13992,2.2,0.019,0.65650004,1.65,1728950400,6404874752,8728000512,7788000256,4.49,15045999616,N/A,37.589,1.597,0.996,0.722,121.64,99.71,4904304,3824361,N/A,0.13727796,0.0053100004,0.77285004,2.83,149.0,104.0,129.87125,1.77778,24,0.06488,0.14840001,19.496,3.29,5.16,41216999424
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,NMS,https://www.archgroup.com,96.98,38312726528,35470082048,6.508725,10.773845,N/A,1.6944474,2.2714605,57.234,45.387,0.418,0.362,0.30663002,0.3977,0.24947001,0.33859003,N/A,N/A,N/A,N/A,1731888000,6641249792,6765000192,4426999808,11.814,2727000064,N/A,12.243,0.603,0.321,0.613,116.47,72.85,1748807,2158058,N/A,0.18228257,0.02991,0.89862,2.4,141.0,104.0,121.66667,1.86667,15,0.04861,0.30441,6.858,14.9,9.04,16867000320
ACN,Accenture plc,Technology,Information Technology Services,Ireland,USD,NYQ,https://www.accenture.com,352.79,220930146304,220433104896,30.865267,25.087896,N/A,7.797843,3.4043481,45.242,103.363,0.026,0.236,0.17052001,0.32609,0.14597,0.111940004,5.92,0.0167,0.45099998,1.35,1728518400,7641968128,9131027456,5009865216,8.018,4120549120,N/A,14.127,1.099,0.984,1.245,387.51,278.69,2369460,1309076,N/A,0.07058072,0.00067000004,0.73113996,2.49,445.0,307.0,380.01385,2.0,26,0.11627,0.26674998,19.92,11.43,14.07,64896462848
ADBE,Adobe Inc.,Technology,Software - Infrastructure,United States,USD,NMS,https://www.adobe.com,499.51,221583638528,218447298560,42.547703,24.290106,N/A,15.282545,10.5782995,32.685,46.482,0.106,0.233,0.38831002,0.88657,0.36834,0.25588,N/A,N/A,N/A,0.12,1111622400,6618500096,6732000256,7514999808,17.072,6078000128,N/A,41.788,1.111,0.966,1.299,638.25,433.97,2867080,2133610,N/A,-0.17614037,0.00207,0.85568,2.44,704.55,440.0,612.01917,1.84615,35,0.15969,0.35355,26.856,11.74,20.55,20946999296
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,USD,NMS,https://www.analog.com,209.65,104089755648,109662478336,62.026623,27.996185,N/A,2.9579413,10.73042,70.877,19.544,-0.248,-0.546,0.44959998,0.57852,0.2178,0.17068,3.68,0.0178,1.0723001,1.78,1725321600,2862019584,3989006080,2545699072,5.127,8118322176,N/A,23.07,1.687,1.138,1.078,244.14,179.44,2861147,3773865,N/A,0.13848281,0.00246,0.91428,3.15,295.0,212.1,255.01222,1.96774,27,0.0286,0.04658,25.144,3.38,7.54,9700435968
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,United States,USD,NYQ,https://www.adm.com,52.71,25508898816,36627865600,10.627016,10.439753,N/A,1.1375849,0.2873659,46.335,171.202,-0.117,-0.424,0.04493,0.07441,0.0222,0.0293,2.0,0.0375,0.37849998,2.6,1732147200,2144875008,4728999936,764000000,1.598,11875999744,N/A,52.874,1.443,0.375,0.722,77.35,48.92,2754115,1870429,N/A,-0.27641392,0.0058600004,0.80508006,3.05,66.0,51.0,59.193,3.09091,10,0.03415,0.1075,9.185,4.96,5.07,88768004096
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,United States,USD,NMS,https://www.adp.com,297.89,121377366016,124057133056,31.859894,27.393848,N/A,22.706762,6.2171793,13.119,47.658,0.071,0.125,0.29365999,0.48112,0.26488,0.19715,6.16,0.0207,0.59830004,2.02,1734048000,2609362432,4655499776,6768500224,16.612,9448299520,N/A,176.65,1.014,0.256,0.795,309.37,227.12,1535957,979264,N/A,0.28731453,0.00121,0.84045,4.24,325.0,280.0,297.674,2.73684,15,0.06544,0.87263,21.639,9.35,10.87,19522899968
ADSK,"Autodesk, Inc.",Technology,Software - Application,United States,USD,NMS,https://www.autodesk.com,302.05,65094488064,65665748992,61.392273,32.923027,N/A,26.249239,11.21352,11.507,27.063,0.119,0.262,0.24048,0.91920996,0.23653999,0.18208,N/A,N/A,N/A,0.48,1111449600,1633500032,1160999936,1878000000,8.735,2603000064,N/A,105.214,0.636,0.526,1.474,315.73,195.32,1367690,919840,N/A,0.37432814,0.0017,0.93205,2.16,355.0,245.0,303.31577,1.92857,26,0.0889,0.57445997,47.039,4.92,9.18,5805000192
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,United States,USD,NYQ,https://www.amereninvestors.com,92.35,24650801152,43061780480,21.476744,18.773607,N/A,2.0830045,3.4926043,44.335,26.546,0.056,-0.091,0.46245,0.51148,0.31766,0.16053,2.68,0.0294,0.62119997,2.78,1733875200,-2085374976,2479000064,17000000,0.064,18299000832,N/A,152.976,0.633,0.304,0.462,92.77,67.03,1429801,1413205,N/A,0.189309,0.0027599998,0.81189,2.17,98.0,79.0,89.34133,2.29412,15,0.02856,0.09838,13.193,4.3,4.92,7057999872
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,United States,USD,NMS,https://www.aep.com,96.49,51387195392,95175426048,19.414488,16.50341,N/A,1.9302247,2.6215014,49.989,37.095,0.015,-0.016,0.37028,0.45083,0.25792998,0.13464,3.72,0.038599998,0.7097,3.52,1731024000,-1226174976,6413400064,474400000,0.891,44221198336,N/A,165.878,0.565,0.3,0.539,105.18,75.22,2856023,3316748,N/A,0.23411071,0.00037999998,0.80504,2.95,116.0,86.0,101.09,2.81818,18,0.026129998,0.10182,13.113,4.97,5.89,19602200576
AES,The AES Corporation,Utilities,Utilities - Diversified,United States,USD,NYQ,https://www.aes.com,13.74,9933044736,43192512512,9.541666,6.6891913,N/A,2.9695268,0.80861646,4.627,17.668,-0.042,1.206,0.27141002,0.19440001,0.20158,0.08344,0.69,0.0494,0.4746,3.07,1730419200,-8318249984,2388999936,1980999936,2.786,30150000640,N/A,352.879,0.851,0.311,1.09,22.21,13.27,10237860,8415518,N/A,-0.16547191,0.00455,0.99814004,2.71,25.0,16.0,21.21091,1.78571,11,0.028369999,-0.02549,12.955,1.44,2.03,12284000256
AFL,Aflac Incorporated,Financial Services,Insurance - Life,United States,USD,NYQ,https://www.aflac.com,112.04,62241357824,65527402496,16.647846,15.626067,N/A,2.512051,3.5973506,44.601,30.368,-0.404,N/A,0.27622998,0.45196998,0.04815,0.22015,2.0,0.018,0.28530002,2.36,1732060800,2892499968,2956000000,9164000256,16.496,12449999872,N/A,50.141,1.492,1.349,0.958,115.5,75.08,2223050,1850337,N/A,0.3592186,0.1014,0.60415,4.41,124.0,90.0,103.83333,3.0,12,0.0235,0.16038,13.711,6.73,7.17,17301999616
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,United States,USD,NYQ,https://www.aig.com,76.31,47599812608,44439842816,15.051281,11.439475,N/A,1.0679,1.0507917,71.458,67.45,-0.086,-0.747,0.18766001,0.27963,0.105100006,-0.04876,1.6,0.0211,0.3022,2.62,1734307200,23808874496,4767000064,13248000000,21.239,10053999616,N/A,22.306,0.644,0.232,1.069,80.83,64.47,3907700,3277184,N/A,0.16623056,0.0025499999,0.94131,2.53,96.0,75.0,84.23529,2.22222,17,0.00827,0.085,5.228,5.07,6.71,45298999296
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,United States,USD,NYQ,https://www.assurant.com,221.6,11365287936,11309382656,15.627645,12.262571,N/A,2.1663685,0.9667814,102.291,223.621,0.07,-0.28,0.10564,0.106809996,0.059710003,0.06307,2.88,0.013200001,0.2057,1.86,1725321600,1712562560,1592499968,2138400000,41.694,2082499968,N/A,39.627,0.427,0.143,0.568,221.94,160.12,342674,502137,N/A,0.3278718,0.00601,0.98542,2.33,240.0,212.0,229.6,1.66667,5,0.01873,0.15215,9.107,14.18,17.92,11755799552
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,United States,USD,NYQ,https://www.ajg.com,293.59,64644407296,70996942848,56.135754,25.922552,N/A,5.286766,6.059826,55.533,48.957,0.119,0.086,0.31705,0.43515,0.18721001,0.10988,2.4,0.0081,0.44849998,1.25,1733443200,2754050048,2537200128,2022400000,9.218,8580100096,N/A,70.273,1.059,0.171,0.727,301.04,218.63,856639,420849,N/A,0.18352747,0.01118,0.88011,3.02,325.0,250.0,293.2,2.42105,17,0.02923,0.10321999,20.991,5.23,11.28,10667700224
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,United States,USD,NMS,https://www.akamai.com,85.96,13134344192,15864552448,25.431952,12.764068,N/A,2.7007666,3.3115306,31.828,26.167,0.041,-0.635,0.28198,0.59678,0.15695,0.13266,N/A,N/A,N/A,N/A,N/A,682680000,1564576000,1699204992,11.311,4650246144,N/A,96.999,1.328,1.208,0.678,129.17,85.625,1570680,2390442,N/A,-0.22717226,0.018380001,0.98737997,7.06,140.0,76.0,113.15619,1.875,21,0.041890003,0.11541,14.185,3.38,6.68,3966245888
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,United States,USD,NYQ,https://www.albemarle.com,104.03,12227686400,16755149824,N/A,72.65629,N/A,1.5273821,1.8806102,68.11,55.351,-0.414,N/A,-0.14380999,-0.11823,-0.20657,-0.28798,1.62,0.0156,0.5797,1.15,1734048000,-1791566336,603174976,1664519040,14.161,3706776064,N/A,35.334,2.444,1.509,1.551,153.54,71.97,2570534,1698674,N/A,-0.1791802,0.00345,0.93214,5.74,225.0,73.0,115.98462,2.42857,26,-0.051760003,-0.17662,-17.918,-16.76,1.84,6501978112
