Symbol,Name,Sector,Current Price,Market Cap,PE Ratio,Dividend Yield,Error
AACG,ATA Creativity Global,Consumer Defensive,1.02,32103378,N/A,N/A,
AADI,"Aadi Bioscience, Inc.",Healthcare,2.22,54717228,N/A,N/A,
AAL,American Airlines Group Inc.,Industrials,14.92,9804394496,35.52381,N/A,
AAME,Atlantic American Corporation,Financial Services,1.58,32231684,N/A,0.0117999995,
AAOI,"Applied Optoelectronics, Inc.",Technology,37.91,1708914560,N/A,N/A,
AAON,"AAON, Inc.",Industrials,137.59,11183259648,60.34649,0.0023,
AAPL,Apple Inc.,Technology,232.87,3520016154624,38.300987,0.0043,
ABAT,American Battery Technology Company,Basic Materials,0.9452,70437912,N/A,N/A,
ABCL,AbCellera Biologics Inc.,Healthcare,2.95,871329792,N/A,N/A,
ABEO,Abeona Therapeutics Inc.,Healthcare,5.94,258217744,N/A,N/A,
ABL,"Abacus Life, Inc.",Financial Services,7.67,572786432,N/A,N/A,
ABLV,Able View Global Inc.,Communication Services,0.88,36852992,3.6666667,N/A,
ABNB,"Airbnb, Inc.",Consumer Cyclical,140.93,88049106944,49.10453,N/A,
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,2.36,141788320,N/A,N/A,
ABSI,Absci Corporation,Healthcare,2.83,325042464,N/A,N/A,
ABTS,Abits Group Inc.,Financial Services,0.663,23572766,N/A,N/A,
ABUS,Arbutus Biopharma Corporation,Healthcare,3.42,648062656,N/A,N/A,
ABVC,"ABVC BioPharma, Inc.",Healthcare,0.522,6391629,N/A,N/A,
ABVE,Above Food Ingredients Inc.,Consumer Defensive,0.814,23199000,N/A,N/A,
ABVX,ABIVAX Société Anonyme,Healthcare,8.5,555895744,N/A,N/A,
ACAB,Atlantic Coastal Acquisition Corp. II,Financial Services,5.77,46398128,N/A,N/A,
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,16.54,2752123904,21.20513,N/A,
ACB,Aurora Cannabis Inc.,Healthcare,4.57,250862848,N/A,N/A,
ACCD,"Accolade, Inc.",Healthcare,3.8,306040992,N/A,N/A,
ACET,"Adicet Bio, Inc.",Healthcare,0.904,74490504,N/A,N/A,
ACGL,Arch Capital Group Ltd.,Financial Services,100.06,37646770176,6.7154365,N/A,
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,39.99,3714487296,13.111476,N/A,
ACHL,Achilles Therapeutics plc,Healthcare,1.07,45706552,N/A,N/A,
ACHV,"Achieve Life Sciences, Inc.",Healthcare,4.51,155098464,N/A,N/A,
ACI,"Albertsons Companies, Inc.",Consumer Defensive,19.38,11227762688,11.333333,0.0248,
ACIC,American Coastal Insurance Corporation,Financial Services,13.57,654141824,7.7988505,N/A,
ACIU,AC Immune SA,Healthcare,3.41,337396000,N/A,N/A,
ACLS,"Axcelis Technologies, Inc.",Technology,77.47,2518247680,11.460059,N/A,
ACLX,"Arcellx, Inc.",Healthcare,89.41,4834819072,N/A,N/A,
ACMR,"ACM Research, Inc.",Technology,18.44,1154856704,13.864661,N/A,
ACNB,ACNB Corporation,Financial Services,48.37,413496736,14.061046,0.026500002,
ACNT,Ascent Industries Co.,Basic Materials,10.65,107490448,N/A,N/A,
ACON,"Aclarion, Inc.",Healthcare,0.1765,1841106,N/A,N/A,
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,3.99,285009280,N/A,N/A,
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,7.16,222935904,N/A,N/A,
ACST,"Grace Therapeutics, Inc.",Healthcare,3.37,34171460,N/A,N/A,
ACT,"Enact Holdings, Inc.",Financial Services,35.37,5432442368,8.244755,0.0209,
ACTG,Acacia Research Corporation,Industrials,4.58,445946336,7.8965516,N/A,
ACTU,"Actuate Therapeutics, Inc. Common stock",Healthcare,9.15,178714128,N/A,N/A,
ACVA,ACV Auctions Inc.,Consumer Cyclical,22.96,3849014272,N/A,N/A,
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,1.32,22298100,N/A,N/A,
ADAG,Adagene Inc.,Healthcare,2.27,100494712,N/A,N/A,
ADAP,Adaptimmune Therapeutics plc,Healthcare,0.6971,178376048,N/A,N/A,
ADBE,Adobe Inc.,Technology,518.73,228344938496,43.84869,N/A,
ADD,"Color Star Technology Co., Ltd.",Communication Services,6.15,3780011,N/A,N/A,
ADEA,Adeia Inc.,Technology,12.25,1338496256,33.10811,0.0163,
ADGM,"Adagio Medical Holdings, Inc.",Healthcare,2.6,37791260,N/A,N/A,
ADI,"Analog Devices, Inc.",Technology,223.58,111005900800,67.54683,0.0165,
ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,1.01,6469837,N/A,N/A,
ADMA,"ADMA Biologics, Inc.",Healthcare,21.47,5075293184,79.51852,N/A,
ADN,"Advent Technologies Holdings, Inc.",Utilities,6.49,17110950,N/A,N/A,
ADP,"Automatic Data Processing, Inc.",Technology,304.665,124137889792,32.58449,0.0202,
ADPT,Adaptive Biotechnologies Corporation,Healthcare,5.58,823490880,N/A,N/A,
ADSE,ADS-TEC Energy PLC,Industrials,13.33,686439040,N/A,N/A,
ADSK,"Autodesk, Inc.",Technology,319.39,68831420416,65.31493,N/A,
ADTN,"ADTRAN Holdings, Inc.",Technology,8.68,688375296,N/A,0.0677,
ADTX,"Aditxt, Inc.",Healthcare,0.4,5693680,N/A,N/A,
ADUS,Addus HomeCare Corporation,Healthcare,122.95,2229464576,28.19954,N/A,
ADV,Advantage Solutions Inc.,Communication Services,3.6,1154714368,N/A,N/A,
ADVM,"Adverum Biotechnologies, Inc.",Healthcare,6.15,127935376,N/A,N/A,
ADXN,Addex Therapeutics Ltd,Healthcare,7.95,8496403,N/A,N/A,
AEAE,AltEnergy Acquisition Corp.,Financial Services,11.08,71888704,N/A,N/A,
AEHL,Antelope Enterprise Holdings Limited,Industrials,0.2606,3807965,0.013950749,N/A,
AEHR,"Aehr Test Systems, Inc.",Technology,12.67,375423520,12.928572,N/A,
AEI,Alset Inc.,Real Estate,1.13,10435686,N/A,N/A,
AEIS,"Advanced Energy Industries, Inc.",Industrials,117.35,4420938240,97.791664,0.0034,
AEMD,"Aethlon Medical, Inc.",Healthcare,0.4032,5629478,N/A,N/A,
AENT,Alliance Entertainment Holding Corporation,Communication Services,4.83,246027632,N/A,N/A,
AEP,"American Electric Power Company, Inc.",Utilities,98.1,52244623360,19.778225,0.0379,
AERT,"Aeries Technology, Inc",Industrials,1.11,49395444,111.00001,N/A,
AEYE,"AudioEye, Inc.",Technology,26.48,322476096,N/A,N/A,
AFBI,"Affinity Bancshares, Inc.",Financial Services,21.45,137546624,25.235294,N/A,
AFCG,Advanced Flower Capital Inc.,Real Estate,9.62,211184976,37.0,0.1372,
AFD,N/A,N/A,N/A,N/A,N/A,N/A,
AFMD,Affimed N.V.,Healthcare,3.0,49176900,N/A,N/A,
AFRI,Forafric Global PLC,Consumer Defensive,10.16,273092672,N/A,N/A,
AFRM,"Affirm Holdings, Inc.",Technology,69.35,21779783680,N/A,N/A,
AFU,N/A,N/A,N/A,N/A,N/A,N/A,
AFYA,Afya Limited,Consumer Defensive,16.86,1524951680,15.327273,N/A,
AGAE,Allied Gaming & Entertainment Inc.,Communication Services,1.03,45429180,N/A,N/A,
AGEN,Agenus Inc.,Healthcare,3.55,83279096,N/A,N/A,
AGFY,Agrify Corporation,Industrials,45.81,70077848,N/A,N/A,
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,57.51,3279806720,4.9322467,N/A,
AGMH,AGM Group Holdings Inc.,Technology,1.81,43901188,N/A,N/A,
AGNC,AGNC Investment Corp.,Real Estate,9.75,8634989568,6.543624,0.14770001,
AGRI,AgriFORCE Growing Systems Ltd.,Consumer Defensive,0.039,6046170,0.017727273,N/A,
AGYS,"Agilysys, Inc.",Technology,137.8,3851578880,39.259262,N/A,
AH,N/A,N/A,N/A,N/A,N/A,N/A,
AHCO,AdaptHealth Corp.,Healthcare,10.12,1361696640,N/A,N/A,
AHG,Akso Health Group,Healthcare,0.8644,344740864,N/A,N/A,
AIEV,"Thunder Power Holdings, Inc.",Consumer Cyclical,0.2706,13726103,N/A,N/A,
AIFF,"Firefly Neuroscience, Inc.",Technology,3.3,28061088,N/A,N/A,
AIHS,Senmiao Technology Limited,Financial Services,0.937,9855366,N/A,N/A,
AILE,"iLearningEngines, Inc.",Technology,1.53,215994672,25.5,N/A,
AIMD,"Ainos, Inc.",Healthcare,0.4513,6245450,N/A,N/A,
